,city,lo,la
14,nantong,121.05,32.08
279,nanyang,112.53,33.01
316,naqu,92.1,31.47
238,neijiang,105.04,29.59
41,ningbo,121.56,29.86
225,ningde,119.52,26.65
348,nujiangzhou,98.863288,25.823707
64,panjin,122.070714,41.119997
20,panzhihua,101.718637,26.582347
55,penglai,120.75,37.8
163,pingdingshan,113.29,33.75
71,pingdu,119.97,36.77
275,pingliang,106.68,35.51
197,pingxiang,113.85,27.6
251,puer,101.03,23.07
219,putian,119.0,25.44
288,puyang,114.98,35.71
321,qiandongnanzhou,107.989446,26.589703000000004
320,qiannanzhou,107.528403,26.260616
322,qianxinanzhou,104.912492,25.093967000000006
7,qingdao,120.33,36.07
270,qingyang,107.88,36.03
60,qingyuan,113.01,23.7
172,qinhuangdao,119.57,39.95
227,qinzhou,108.61,21.96
4,qiqihaer,123.97,47.33
258,qitaihe,130.83,45.82
10,quanzhou,118.58,24.93
28,qujing,103.79,25.51
182,quzhou,118.88,28.97
315,rikaze,88.82,29.28
12,rizhao,119.46,35.42
44,rongcheng,122.41,37.16
8,rushan,121.52,36.89
89,sanmenxia,111.19,34.76
220,sanming,117.61,26.23
93,sanya,109.511909,18.252847
19,shanghai,121.48,31.22
360,shangluo,109.924418,33.878634000000005
286,shangqiu,115.65,34.44
194,shangrao,117.97,28.47
371,shannan,91.778675,29.243027
39,shantou,116.69,23.39
24,shanwei,115.375279,22.786211
56,shaoguan,113.62,24.84
113,shaoxing,120.58,30.01
218,shaoyang,111.5,27.22
81,shenyang,123.38,41.8
66,shenzhen,114.07,22.62
307,shihezi,85.94,44.27
174,shijiazhuang,114.48,38.03
206,shiyan,110.79,32.65
80,shizuishan,106.39,39.04
63,shouguang,118.73,36.86
261,shuangyashan,131.17,46.65
369,shuozhou,112.439371,39.337108
262,siping,124.37,43.17
357,songyuan,124.831482,45.147405
260,suihua,127.0,46.63
236,suining,105.58,30.52
330,suizhou,113.38945,31.696517
68,suqian,118.3,33.96
294,suzhou,116.97,33.63
82,suzhou,120.62,31.32
314,tachengdiqu,82.96,46.74
156,taian,117.13,36.18
27,taicang,121.1,31.45
59,taiyuan,112.53,37.87
118,taizhou,121.420757,28.656386
50,taizhoushi,119.9,32.49
162,tangshan,118.02,39.63
154,tianjin,117.2,39.13
276,tianshui,105.69,34.6
210,tieling,123.85,42.32
70,tongchuan,109.11,35.09
264,tonghua,125.92,41.49
202,tongliao,122.28,43.63
290,tongling,117.82,30.93
189,tongrendiqu,109.21,27.73
308,tulufandiqu,89.19,42.91
31,wafangdian,121.979603,39.627114
116,weifang,119.1,36.62
21,weihai,122.1,37.5
125,weinan,109.5,34.52
18,wendeng,122.05,37.2
249,wenshanzhou,104.24,23.37
146,wenzhou,120.65,28.01
201,wuhai,106.82,39.67
186,wuhan,114.31,30.52
161,wuhu,118.38,31.33
79,wujiang,120.63,31.16
376,wujiaqu,87.549937,44.172445
327,wulanchabu,113.139468,41.000748
135,wulumuqi,87.68,43.77
272,wuwei,102.61,37.94
122,wuxi,120.29,31.59
252,wuzhong,106.21,37.99
229,wuzhou,111.34,23.51
23,xiamen,118.1,24.46
108,xian,108.95,34.27
178,xiangtan,112.91,27.87
335,xiangxizhou,109.745577,28.317369
329,xiangyang,112.128537,32.014796999999994
207,xianning,114.28,29.87
69,xianyang,108.72,34.36
208,xiaogan,113.91,31.92
325,xilinguoleimeng,116.054391,43.939423
328,xinganmeng,122.04436499999998,46.088463
164,xingtai,114.48,37.05
98,xining,101.74,36.56
280,xinxiang,113.85,35.31
283,xinyang,114.08,32.13
199,xinyu,114.92,27.81
367,xinzhou,112.740624,38.422383
346,xishuangbannazhou,100.803447,22.013601
291,xuancheng,118.73,31.95
281,xuchang,113.81,34.02
131,xuzhou,117.2,34.26
241,yaan,102.97,29.97
58,yanan,109.47,36.6
361,yanbianzhou,129.499109,42.916871
5,yancheng,120.13,33.38
96,yangjiang,111.95,21.85
36,yangquan,113.57,37.85
114,yangzhou,119.42,32.39
29,yantai,121.39,37.52
99,yibin,104.56,29.77
168,yichang,111.3,30.7
200,yichun,114.38,27.81
255,yichunshi,128.92,47.73
375,yilihasakezhou,81.330538,43.922723
87,yinchuan,106.27,38.47
52,yingkou,122.18,40.65
192,yingtan,117.02,28.23
169,yiwu,120.06,29.32
106,yixing,119.82,31.36
223,yiyang,112.33,28.6
217,yongzhou,111.63,26.22
180,yueyang,113.09,29.37
268,yulinshi,109.77,38.3
224,yulin,110.14,22.64
301,yuncheng,110.97,35.03
16,yunfu,112.02,22.93
269,yushuzangzuzizhizhou,96.97,33.03
34,yuxi,102.52,24.35
136,zaozhuang,117.57,34.86
88,zhangjiagang,120.555821,31.875428000000007
105,zhangjiajie,110.479191,29.117096000000004
35,zhangjiakou,114.87,40.82
75,zhangqiu,117.53,36.72
274,zhangye,100.46,38.93
222,zhangzhou,117.35,24.52
42,zhanjiang,110.359377,21.270708
76,zhaoqing,112.44,23.05
246,zhaotong,103.7,29.32
2,zhaoyuan,120.38,37.35
158,zhengzhou,113.65,34.76
103,zhenjiang,119.44,32.2
61,zhongshan,113.38,22.52
254,zhongwei,105.18,37.51
285,zhoukou,114.63,33.63
3,zhoushan,122.207216,29.985295
67,zhuhai,113.52,22.3
157,zhuji,120.23,29.71
282,zhumadian,114.02,32.98
173,zhuzhou,113.16,27.83
138,zibo,118.05,36.78
94,zigong,104.778442,29.33903
240,ziyang,104.6,30.19
112,zunyi,106.9,27.7
